INPUT:question_id	INPUT:question
7244321	"How do I update or sync a forked repository on GitHub?

I forked a project, made changes, and created a pull request which was accepted. New commits were later added to the repository. How do I get those commits into my fork?
"
426258	"Setting ""checked"" for a checkbox with jQuery

I'd like to do something like this to tick a checkbox using jQuery:

$("".myCheckBox"").checked(true);


or

$("".myCheckBox"").selected(true);


Does such a thing exist?
"
5480258	"How can I delete a remote tag?

How can I delete a Git tag that has already been pushed?
"
14994391	"""Thinking in AngularJS"" if I have a jQuery background?

Suppose I'm familiar with developing client-side applications in jQuery, but now I'd like to start using AngularJS. Can you describe the paradigm shift that is necessary? Here are a few questions that might help you frame an answer:


How do I architect and design client-side web applications differently? What is the biggest difference?
What should I stop doing/using; What should I start doing/using instead?
Are there any server-side considerations/restrictions?


I'm not looking for a detailed comparison between jQuery and AngularJS.
"
136097	"Difference between @staticmethod and @classmethod

What is the difference between a function decorated with @staticmethod and one decorated with @classmethod?
"
509211	"Understanding slicing

How does Python's slice notation work? That is: when I write code like a[x:y:z], a[:], a[::2] etc., how can I understand which elements end up in the slice? Please include references where appropriate.

See also: Why are slice and range upper-bound exclusive?
"
2669690	"Why does Google prepend while(1); to their JSON responses?

Why does Google prepend while(1); to their (private) JSON responses?

For example, here's a response while turning a calendar on and off in Google Calendar:

while (1);
[
  ['u', [
    ['smsSentFlag', 'false'],
    ['hideInvitations', 'false'],
    ['remindOnRespondedEventsOnly', 'true'],
    ['hideInvitations_remindOnRespondedEventsOnly', 'false_true'],
    ['Calendar ID stripped for privacy', 'false'],
    ['smsVerifiedFlag', 'true']
  ]]
]


I would assume this is to prevent people from doing an eval() on it, but all you'd really have to do is replace the while and then you'd be set. I would assume the eval prevention is to make sure people write safe JSON parsing code.

I've seen this used in a couple of other places, too, but a lot more so with Google (Mail, Calendar, Contacts, etc.) Strangely enough, Google Docs starts with &&&START&&& instead, and Google Contacts seems to start with while(1); &&&START&&&.

What's going on here?
"
271526	"Avoiding NullPointerException in Java

I use x != null to avoid NullPointerException. Is there an alternative?
if (x != null) {
    // ...
}

"
400212	"How do I copy to the clipboard in JavaScript?

How do I copy text to the clipboard (multi-browser)?
Related: How does Trello access the user's clipboard?
"
16047306	"How is Docker different from a virtual machine?

I keep rereading the Docker documentation to try to understand the difference between Docker and a full VM. How does it manage to provide a full filesystem, isolated networking environment, etc. without being as heavy?

Why is deploying software to a Docker image (if that's the right term) easier than simply deploying to a consistent production environment?
"
2610497	"Change a HTML5 input's placeholder color with CSS

Chrome supports the placeholder attribute on input[type=text] elements (others probably do too).
But the following CSS doesn't do anything to the placeholder's value:


input[placeholder], [placeholder], *[placeholder] {
    color: red !important;
}
<input type=""text"" placeholder=""Value"">



But Value will still remain grey instead of red.
Is there a way to change the color of the placeholder text?
"
105372	"How to enumerate an enum?

How can you enumerate an enum in C#?

E.g. the following code does not compile:

public enum Suit
{
    Spades,
    Hearts,
    Clubs,
    Diamonds
}

public void EnumerateAllSuitsDemoMethod()
{
    foreach (Suit suit in Suit)
    {
        DoSomething(suit);
    }
}


And it gives the following compile-time error:


  'Suit' is a 'type' but is used like a 'variable'


It fails on the Suit keyword, the second one.
"
1260748	"How do I remove a submodule?

How do I remove a Git submodule?
Why can't I do
git submodule rm module_name?
"
1109022	"How to close/hide the Android soft keyboard programmatically?

I have an EditText and a Button in my layout.
After writing in the edit field and clicking on the Button, I want to hide the virtual keyboard when touching outside the keyboard. I assume that this is a simple piece of code, but where can I find an example of it?
"
59838	"How do I check if a directory exists in a Bash shell script?

What command checks if a directory exists or not within a Bash shell script?
"
40471	"What are the differences between a HashMap and a Hashtable in Java?

What are the differences between a HashMap and a Hashtable in Java?

Which is more efficient for non-threaded applications?
"
176918	"Finding the index of an item in a list

Given a list [""foo"", ""bar"", ""baz""] and an item in the list ""bar"", how do I get its index 1?
"
671118	"What is RESTful programming?

What exactly is RESTful programming?

"
2334712	"How do I UPDATE from a SELECT in SQL Server?

In SQL Server, it is possible to insert rows into a table with an INSERT.. SELECT statement:
INSERT INTO Table (col1, col2, col3)
SELECT col1, col2, col3 
FROM other_table 
WHERE sql = 'cool'

Is it also possible to update a table with SELECT? I have a temporary table containing the values and would like to update another table using those values. Perhaps something like this:
UPDATE Table SET col1, col2
SELECT col1, col2 
FROM other_table 
WHERE sql = 'cool'
WHERE Table.id = other_table.id

"
14415881	"How can I pair socks from a pile efficiently?

Yesterday I was pairing the socks from the clean laundry and figured out the way I was doing it is not very efficient. I was doing a naive search — picking one sock and ""iterating"" the pile in order to find its pair. This requires iterating over n/2 * n/4 = n2/8 socks on average.

As a computer scientist I was thinking what I could do? Sorting (according to size/color/...) of course came to mind to achieve an O(NlogN) solution.

Hashing or other not-in-place solutions are not an option, because I am not able to duplicate my socks (though it could be nice if I could).

So, the question is basically:

Given a pile of n pairs of socks, containing 2n elements (assume each sock has exactly one matching pair), what is the best way to pair them up efficiently with up to logarithmic extra space? (I believe I can remember that amount of info if needed.)

I will appreciate an answer that addresses the following aspects:


A general theoretical solution for a huge number of socks.
The actual number of socks is not that large, I don't believe my spouse and I have more than 30 pairs. (And it is fairly easy to distinguish between my socks and hers; can this be used as well?)
Is it equivalent to the element distinctness problem?

"
3294889	"Iterating over dictionaries using 'for' loops

d = {'x': 1, 'y': 2, 'z': 3}

for key in d:
    print(key, 'corresponds to', d[key])

How does Python recognize that it needs only to read the key from the dictionary? Is key a special keyword, or is it simply a variable?
"
1338728	"How do I delete a commit from a branch?

How do I delete a commit from my branch history?
Should I use git reset --hard HEAD?
"
134882	"Undoing a git rebase

How do I easily undo a git rebase? A lengthy manual method is:

checkout the commit parent to both of the branches
create and checkout a temporary branch
cherry-pick all commits by hand
reset the faulty rebased branch to point to the temporary branch

In my current situation, this works because I can easily spot commits from both branches (one was my stuff, the other was my colleague's stuff). However, my approach strikes me as suboptimal and error-prone (let's say I had just rebased with two of my own branches).
Clarification: I am talking about a rebase during which multiple commits were replayed, not only one.
"
157944	"Create ArrayList from array

Given an array of type Element[]:
Element[] array = {new Element(1), new Element(2), new Element(3)};

How do I convert this array into an object of type ArrayList<Element>?
ArrayList<Element> arrayList = ???;

"
